Control,State,County,Type,Type,Date,Post Data,Parcels
1561,AR,Cleburne,Deed,OTC,4/12/2013,n/a,264
1562,AR,Cleburne,Deed,OTC,6/22/2013,n/a,265
1582,AR,Cleburne,Deed,OTC,1/8/2014,n/a,315
1578,AR,Cleburne,Deed,OTC,9/11/2014,n/a,308
1625,AR,Cleburne,Deed,OTC,12/30/2014,n/a,384
1643,AR,Cleburne,Deed,OTC,11/3/2015,n/a,410
4630,AR,Cleburne,Deed,n/a,8/28/2013,6/21/2013,104
8872,AR,Cleburne,Deed,n/a,8/26/2014,6/23/2014,169
12467,AR,Cleburne,Deed,n/a,9/2/2015,7/23/2015,127
15143,AR,Cleburne,Deed,n/a,9/8/2016,7/25/2016,101
243,AR,Cleveland,Deed,OTC,12/14/2012,n/a,3
242,AR,Cleveland,Deed,OTC,4/12/2013,n/a,3
241,AR,Cleveland,Deed,OTC,6/22/2013,n/a,3
4795,AR,Cleveland,Deed,OTC,9/9/2013,7/4/2013,5
4899,AR,Cleveland,Deed,OTC,9/9/2013,7/17/2013,5
458,AR,Cleveland,Deed,OTC,1/8/2014,n/a,6
318,AR,Cleveland,Deed,OTC,9/11/2014,n/a,4
240,AR,Cleveland,Deed,OTC,12/30/2014,n/a,3
239,AR,Cleveland,Deed,OTC,11/3/2015,n/a,3
8048,AR,Cleveland,Deed,n/a,7/2/2014,4/18/2014,19
11530,AR,Cleveland,Deed,n/a,6/17/2015,4/29/2015,23
14365,AR,Cleveland,Deed,n/a,4/28/2016,2/29/2016,10
4768,AR,Columbia,Deed,Negotiated Sale,8/28/2013,7/1/2013,19
1078,AR,Columbia,Deed,OTC,12/14/2012,n/a,37
965,AR,Columbia,Deed,OTC,4/12/2013,n/a,27
953,AR,Columbia,Deed,OTC,6/22/2013,n/a,26
993,AR,Columbia,Deed,OTC,1/8/2014,n/a,29
1141,AR,Columbia,Deed,OTC,9/11/2014,n/a,44
1140,AR,Columbia,Deed,OTC,12/30/2014,n/a,44
1110,AR,Columbia,Deed,OTC,11/3/2015,n/a,41
3581,AR,Columbia,Deed,n/a,5/30/2013,3/6/2013,40
8049,AR,Columbia,Deed,n/a,6/11/2014,4/18/2014,43
11531,AR,Columbia,Deed,n/a,7/8/2015,4/29/2015,33
14776,AR,Columbia,Deed,n/a,7/20/2016,4/28/2016,141
966,AR,Conway,Deed,OTC,12/14/2012,n/a,27
915,AR,Conway,Deed,OTC,4/12/2013,n/a,23
811,AR,Conway,Deed,OTC,6/22/2013,n/a,16
5531,AR,Conway,Deed,OTC,10/28/2013,9/4/2013,18
906,AR,Conway,Deed,OTC,1/8/2014,n/a,22
926,AR,Conway,Deed,OTC,9/11/2014,n/a,24
905,AR,Conway,Deed,OTC,12/30/2014,n/a,22
925,AR,Conway,Deed,OTC,11/3/2015,n/a,24
2064,AR,Conway,Deed,n/a,9/11/2012,8/7/2012,76
4631,AR,Conway,Deed,n/a,7/30/2013,6/21/2013,75
8050,AR,Conway,Deed,n/a,7/1/2014,4/18/2014,69
11532,AR,Conway,Deed,n/a,6/16/2015,4/29/2015,80
14349,AR,Conway,Deed,n/a,4/19/2016,2/26/2016,53
1005,AR,Craighead,Deed,OTC,12/14/2012,n/a,30
1031,AR,Craighead,Deed,OTC,4/12/2013,n/a,32
954,AR,Craighead,Deed,OTC,6/22/2013,n/a,26
4796,AR,Craighead,Deed,OTC,7/23/2013,7/4/2013,19
765,AR,Craighead,Deed,OTC,1/8/2014,n/a,14
387,AR,Craighead,Deed,OTC,9/11/2014,n/a,5
319,AR,Craighead,Deed,OTC,12/30/2014,n/a,4
581,AR,Craighead,Deed,OTC,11/3/2015,n/a,8
3582,AR,Craighead,Deed,n/a,4/24/2013,3/6/2013,119
7548,AR,Craighead,Deed,n/a,4/30/2014,2/27/2014,120
11020,AR,Craighead,Deed,n/a,5/13/2015,2/26/2015,145
14366,AR,Craighead,Deed,n/a,5/25/2016,2/29/2016,114
1104,AR,Crawford,Deed,OTC,12/14/2012,n/a,40
1066,AR,Crawford,Deed,OTC,4/12/2013,n/a,36
927,AR,Crawford,Deed,OTC,6/22/2013,n/a,24
877,AR,Crawford,Deed,OTC,7/4/2013,n/a,20
1006,AR,Crawford,Deed,OTC,1/8/2014,n/a,30
995,AR,Crawford,Deed,OTC,9/11/2014,n/a,29
994,AR,Crawford,Deed,OTC,12/30/2014,n/a,29
1065,AR,Crawford,Deed,OTC,11/3/2015,n/a,36
3583,AR,Crawford,Deed,n/a,4/3/2013,3/6/2013,73
7549,AR,Crawford,Deed,n/a,4/2/2014,2/27/2014,140
11109,AR,Crawford,Deed,n/a,4/8/2015,3/6/2015,168
14350,AR,Crawford,Deed,n/a,4/6/2016,2/26/2016,117
1528,AR,Crittenden,Deed,OTC,12/14/2012,n/a,225
1510,AR,Crittenden,Deed,OTC,4/12/2013,n/a,207
1502,AR,Crittenden,Deed,OTC,6/22/2013,n/a,192
1575,AR,Crittenden,Deed,OTC,1/8/2014,n/a,302
1597,AR,Crittenden,Deed,OTC,9/11/2014,n/a,341
1593,AR,Crittenden,Deed,OTC,12/30/2014,n/a,335
1668,AR,Crittenden,Deed,OTC,11/3/2015,n/a,456
4632,AR,Crittenden,Deed,n/a,9/4/2013,6/21/2013,253
7550,AR,Crittenden,Deed,n/a,5/1/2014,2/27/2014,197
11021,AR,Crittenden,Deed,n/a,5/14/2015,2/26/2015,238
14367,AR,Crittenden,Deed,n/a,5/26/2016,2/29/2016,169
1032,AR,Cross,Deed,OTC,12/14/2012,n/a,32
955,AR,Cross,Deed,OTC,4/12/2013,n/a,26
916,AR,Cross,Deed,OTC,6/22/2013,n/a,23
967,AR,Cross,Deed,OTC,1/8/2014,n/a,27
